Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
Ready for Reading Toddler Time,2/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,All Children,,,28/05/2014 2:23:31 PM,"Enjoy 30 minutes of action songs, tickles, rhymes and stories for children ages 19 months to 3 years. Registration required.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,2/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,9/5/2014 16:53,"Join us with your toddler aged 19-36 months for stories, songs and rhymes. Registration is required. Parental/caregiver participation strongly encouraged. Call 416-395-5720 or email dokids@torontopubliclibrary.ca to register. *Please note the date has been changed to Fridays, April 4- May 16, 2014**",,,,Downsview branch,dokids@torontopubliclibrary.ca,416-395-5720,NO,,Yes,,0,0,0,,0,0,0,0
Senior's Board Games,2/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Albion,,00-Hobbies Crafts & Games,,,Older Adult,,,28/05/2014 2:23:31 PM,Play some popular board games and meet new people too! Drop-in.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Gamerz Challenge,2/5/2014,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Rexdale,,00-Hobbies Crafts & Games,,,All Ages,,,8/5/2014 17:24,"Bring your game face and challenge your friends to X-Box, PS3 and Wii.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Friday Night Knit/Crochet Club,2/5/2014,,6:00 PM,8:00 PM,5:45 PM,8:15 PM,Malvern,,00-Hobbies Crafts & Games,,,All Ages,,,12/5/2014 13:14,"Share your interest in knitting, crocheting and other wool crafts. Read and discuss knitting fiction. Learn how to crochet puppets and toys to accompany your children's favorite stories. Patterns and instruction provided. Bring your own materials. Group meets the first and third Friday of every month.",,,Kellie Scott,Kellie Scott,kscott@torontopubliclibrary.ca,416-396-8970,NO,,Yes,,0,0,0,,0,0,0,0
Heure du conte / French Storytime,2/5/2014,,6:45 PM,7:30 PM,6:45 PM,7:30 PM,Agincourt,,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,02-French,School-Age Children,,,5/5/2014 10:05,"Pour les enfants de 5-10 ans. Venez vous amuser avec des histoires et des chansons en français. Veuillez appeler la succursale pour avoir des renseignements d'inscription sur le programme. For children aged 5 to 10 years. Enjoy stories, songs, and more in French. Call branch for registration information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Arts for Children & Youth: Visual Art Workshop,3/5/2014,,10:00 AM,11:30 AM,9:30 AM,12:00 PM,Evelyn Gregory,,00-Culture Arts & Entertainment,,,All Children,,,7/6/2014 11:32,"In this free 8-week workshop, children are introduced to new artistic techniques, as well as encouraged to practice those they already know. Participants learn how to use new art materials, and to create art as individuals or as part of a larger team. Each arts workshop presents opportunities for the young artists to apply their creativity and explore artistic techniques. Please call 416-394-1006 or visit Evelyn Gregory in person to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Community Volunteer Income Tax Clinics,3/5/2014,,10:00 AM,3:00 PM,10:00 AM,3:00 PM,Downsview,Auditorium,z DO NOT USE-Business Legal & Personal Finance,00-ESL & Newcomer Programs,z DO NOT USE-Personal Finance,Adult,Older Adult,,29/09/2015 9:16:07 AM,"Starting Saturday March 8th, Downsview Branch will be be hosting the Community Volunteer Income Tax Program provided by the Canada Revenue Agency. Volunteers can help you prepare your income tax and benefit return if you have low income and a simple tax situation. Dates: Every Saturday from March 8 to May 10, 2014 Times: 10:00 am to 3:00 pm Free! Registration is required. If you require assistance in Bengali, Cantonese, Mandarin, Farsi, German, Hindi, Iranian, Russian, Spanish, Tagalog, Tamil, Turkish, or Vietnamese, a volunteer may be available to assist you. Please mention this upon registration. Please also note that this is dependent upon volunteer availability. Please contact the branch at 416-395-5720 to register and for more information. Register early! Appointments fill up very quickly as this is a very popular service. Please note: Volunteers are not employees or volunteers of the Canada Revenue Agency or Toronto Public Library.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Chess in the Library,3/5/2014,,10:30 AM,12:30 PM,10:30 AM,12:30 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,12/5/2014 13:14,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,3/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,All Children,,7/5/2014 19:14,"Children and their caregivers enjoy stories, songs, rhymes and fingerplays.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Family Time,3/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,28/05/2014 2:23:31 PM,"Songs, stories, and rhymes for the whole family.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
MAP Family Saturdays - Black Creek Pioneer Village visits Downsview,3/5/2014,,11:00 AM,12:00 PM,11:00 AM,12:00 PM,Downsview,,00-Culture Arts & Entertainment,01-Museum & Arts Pass,,School-Age Children,,,9/5/2014 16:53,"From Sheep to Shawl Black Creek Pioneer Village staff will show you how to tease, card and spin wool. Take home your own woollen bracelet. Suitable for ages 6-10. Call 416-395-5720 or email dokids@torontopubliclibrary.ca to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,3/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,12/5/2014 13:14,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time Storytimes,3/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,All Children,,,9/5/2014 16:53,"Join one of our Children's Librarians for fun stories, songs, and rhymes. A special monthly puppet show will happen on Feb. 22, Mar. 22, Apr. 19 and May 31. Drop-in. No registration required. Ideal for ages 2-7 years. CANCELLED ON APR. 26, MAY 10 AND MAY 24.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
TD Shakespeare for Kids Library Club,3/5/2014,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Albion,Auditorium,00-Culture Arts & Entertainment,01-Shakespeare for Kids,,School-Age Children,,,28/05/2014 2:23:31 PM,"Join Shakespeare in Action (SIA) for storytelling adventures. Explore the world of magic, wizards, potions, ghosts, swords and witches in some of the greatest stories ever told. In this free, six-week program, professional actors and educators from SIA lead kids ages 7-12 through drama games and Shakespeare's plays, such as The Comedy of Errors, Henry IV, Macbeth, Midsummer Night's Dream, Romeo & Juliet, The Tempest and Twelfth Night. The program runs over six consecutive Saturdays! Registration Required. Contact staff for more detail.",,,,,,,YES,,Yes,,0,0,0,,0,0,0,0
Newcomer Women's Support Group,3/5/2014,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Agincourt,,00-ESL & Newcomer Programs,,,Adult,,,7/5/2014 19:14,Newcomer women are invited to share and learn about one another's experiences in a welcoming environment. Participants will gain knowledge and discuss important issues relevant to newcomer women. For more information please call Wen at 647-388-3762.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Movie,3/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Albion,,00-Culture Arts & Entertainment,,,All Children,,,28/05/2014 2:23:31 PM,Enjoy a Saturday afternoon movie for the whole family the first Saturday of the month. All ages welcome.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler/Preschool Time,5/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Yorkville,Art Gallery,01-Ready for Reading Storytimes,00-Reading Programs & Storytimes,,Pre-School Children,,,2/6/2014 15:14,"Stories, songs, and rhymes for children age 19 months to 5 years with their parents or caregivers. No session on May 19. Registration begins on Monday, April 14, 2014 at 10 a.m. in person or by phone at 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,5/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,,,Adult,,,28/05/2014 2:23:31 PM,Practice your English by reading with others from great books and sharing your ideas about them. Drop-in. Mondays 4:30-5:30 p.m.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,5/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,00-Adult Literacy,,Adult,,,28/05/2014 2:23:31 PM,Practice your English by reading with others from great books and sharing your ideas about them. No registration required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Youth Conversation Group,5/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Teen,,,8/5/2014 10:11,"Newcomer youth ages 13-18 are invited to Agincourt library to meet new friends, learn and practice English, gain new skills, get volunteer hours and more. Registration is required. Please call Agincourt branch at 416-396-8950 or Wen (library settlement worker) at 647-388-3762.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,5/5/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,28/05/2014 2:23:31 PM,"Get in touch with your creative side. Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. There will be no craft program on Monday, April 21 and Monday, May 19th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Canadian Citizenship Test Preparation,5/5/2014,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,Do you need help preparing and studying for the Canadian Citizenship Test? Complete the free citizenship test preparation program in 5 classes at Malvern Branch. To register call 416-396-8969 or visit the branch for more details.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
English Conversation Circle,5/5/2014,,6:00 PM,7:30 PM,6:00 PM,7:30 PM,Agincourt,,00-ESL & Newcomer Programs,,,Adult,Older Adult,Teen,28/05/2014 2:05:32 PM,"For newcomers looking to improve English, the English Conversation Circle provides a supportive and encouraging environment to practice your English! Registration is required. Please call Agincourt branch at 416-396-8950 or Wen (library settlement worker) at 647-388-3762.",,LSP worker: Wen Chen,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,6/5/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Preschool Time,6/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,16/05/2014 2:43:30 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Babytime,6/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,9/5/2014 16:53,"Join us with your baby aged birth to 18 months for stories, songs, and rhymes. Registration is required. Parental/caregiver participation is strongly encouraged. Call Downsview branch at 416-395-5720 or email dokids@torontopubliclibrary.ca to register.",,,,Downsview branch,dokids@torontopubliclibrary.ca,416-395-5720,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Baby Time,6/5/2014,,1:00 PM,2:30 PM,1:00 PM,2:30 PM,Albion,,00-Reading Programs & Storytimes,,,All Children,,,28/05/2014 2:23:31 PM,"In partnership with Toronto Public Health, enjoy a 30 minute storytime full of bounces, tickling rhymes, dancing tunes and fun read-a-loud books for babies birth to 13 months. Afterwards a Public Health Nurse will continue the program with Q&A as well as talk about baby’s growth and development. Registration begins Monday, March 17.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Wills and Estate Planning (in Cantonese),6/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Program Room,z DO NOT USE-Business Legal & Personal Finance,,,Adult,Older Adult,,29/09/2015 9:16:07 AM,"Get information about wills, executors, estate planning and how you can maximize your legacy to those you care about. For more information or to reserve your spot please phone:416-397-5924",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Super Sarah Magic Show!,6/5/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,01-TD Summer Reading Club,,,All Children,Pre-School Children,School-Age Children,14/05/2014 12:13:12 PM,Join Super Sarah for an afternoon of magic and family-friendly fun! Super Sarah's Magic Shows are jam packed with loads of energy and funny magic that is aimed to get children involved and make everyone feel a part of the show. All ages welcome. Drop-in.,,,,,,,NO,,No,,0,0,0,,0,0,0,0
Chess Club,6/5/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Downsview,,00-Hobbies Crafts & Games,,,School-Age Children,All Children,,9/5/2014 16:53,"Interested in playing chess? Open to beginners and experienced players alike. Great for improving your concentration and logic skills while making new friends! Tips and techniques provided as required. Ages 7-12. Register in person, or call 416-395-5720, or email dokids@torontopubliclibrary.ca.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Small Business Network: Insurance for Small Business!,6/5/2014,,6:30 PM,8:00 PM,6:30 PM,8:00 PM,Agincourt,Program Room,z DO NOT USE-Business Legal & Personal Finance,,,Adult,Adult,Older Adult,29/09/2015 9:16:07 AM,"Can a business or individual afford not to have insurance should they suffer a catastrophic loss? On Tuesday, December 9th at 6:30pm, join us for an evening with James Hylton, Small Business Insurance Consultant, as he discusses the benefits insurance brings to the small business owner, the different types of coverage, risk minimization strategies and the relationship between the consumer and the insurer. Registration required (please see staff or phone 416-396-8951). Space is limited. James Hylton has ten years of experience working in the insurance field. He holds a Registered Insurance Broker Licence, Other than Life Licence, a Claims Adjusters Licence and two courses towards the Chartered Insurance Professional Designation. In addition to selling insurance, he was sales & service advisor for two different insurance companies before working as an underwriter in the personal lines and commercial sector.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Play Reading,6/5/2014,,7:00 PM,8:30 PM,7:00 PM,8:30 PM,Yorkville,Art Gallery,00-Book Clubs & Writers Groups,00-Culture Arts & Entertainment,,Adult,Older Adult,,2/6/2014 15:14,Everyone takes a part and reads along. For information call 416-393-7660.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,6/5/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,15/05/2014 10:45:42 AM,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechamps.ca. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,7/5/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,7/5/2014,,10:00 AM,10:30 AM,10:00 AM,10:30 AM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,13/05/2014 12:40:36 PM,"Songs, stories and rhymes for children 1- 2 1/2 years and their caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Baby Time,7/5/2014,,10:15 AM,10:45 AM,10:15 AM,10:45 AM,Spadina Road,,01-Ready for Reading Storytimes,,,Pre-School Children,,,13/05/2014 6:32:53 PM,"Stories, songs and rhymes for babies with their parents and caregivers. Ages 0-18 months. Register in branch or call 416-393-7666.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,7/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Yorkville,Art Gallery,01-Ready for Reading Storytimes,00-Reading Programs & Storytimes,,Pre-School Children,,,2/6/2014 15:14,"Bouncing and tickling rhymes, songs, and stories for babies from birth to 18 months with their parents or caregivers. Registration begins on Monday, April 14, 2014 at 10 a.m. in person or by phone at 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Investment databases,7/5/2014,,2:00 PM,3:30 PM,1:30 PM,4:00 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,13/05/2014 12:40:36 PM,"Want to increase your investment knowledge? Curious about where you can go to find information on what the best stocks are? Join us, as a librarian guides you to the investment resources offered through the library, such as the Financial Post Advisor and Value Line databases. Call 416-396-8950 to register.",,There will be two of these sessions - meant as follow up to the Ask an expert program at AG on April 30.,,,,,YES,,Yes,,0,0,0,,0,0,0,0
Preschool Time,7/5/2014,,2:00 PM,2:30 PM,2:00 PM,2:30 PM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,13/05/2014 12:40:36 PM,"Children 2 years and their caregivers will enjoy favourite stories, fingerplays, songs and rhymes.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
The Monkey Queen: Journey to the East,7/5/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Spadina Road,,01-Asian Heritage Month,00-Culture Arts & Entertainment,00-Reading Programs & Storytimes,School-Age Children,Adult,Older Adult,13/05/2014 6:32:53 PM,"Storyteller Diana Tso tells the story of ""The Monkey Queen."" In this twist on the legend of the Monkey King, Monkey Queen is born in the West and travels to the East in search of her ancestral roots. Diana Tso is a storyteller, performer, playwright and poet. A graduate of English Literature from the University of Toronto, Diana is also the artistic director of Red Snow Collective and has performed in theatres all over the world.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Albion Book Club,7/5/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Albion,Auditorium,00-Book Clubs & Writers Groups,,,Adult,Older Adult,,28/05/2014 2:23:31 PM,Join us for a monthly discussion of selected books. Pick up this month's title at the adult information desk.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,8/5/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ask an Expert: Toronto Master Gardeners: Organic City Gardening,8/5/2014,,1:00 PM,2:00 PM,1:00 PM,2:00 PM,City Hall,,01-Ask an Expert,01-Green Programs,,Older Adult,,,21/05/2014 3:47:21 PM,"Ask an Expert. What is organic city gardening and why should you care? Discover the basic principles of this increasingly popular gardening approach including the importance of soil, compost, mulch and water. Get the dirt on integrated pest management (IPM) including what it is and why you should use it. Learn about physical and biological controls: the organic chemical control of pests and weeds as well as organic control of plant disease. Toronto Master Gardeners will give you the scoop!","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/333D6E9BB13C4741B09277D99DCF9293/planting-150x185_333D6E9BB13C4741B09277D99DCF9293.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/7E53C5001E684CB9A399561C0252A058/planting-150x185_7E53C5001E684CB9A399561C0252A058.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Seniors 101,8/5/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,00-Health & Wellness,,,Older Adult,Adult,,12/5/2014 13:14,"Seniors 101 is an information series with guest speakers discussing topics ranging from Arthritis to Vision Care and everything in between. Participants will receive help finding information and resources and will learn about health & wellness, aging well, and much more. Light refreshments will be provided. An Information and Referral booth will be available between 1-2 pm for seniors-related inquiries. This program is brought to you by Malvern Family Resource Centre, Seniors Centre in collaboration with the Malvern Branch.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Babytime,8/5/2014,,2:00 PM,2:30 PM,2:00 PM,2:30 PM,Agincourt,Children's Department,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,,,13/05/2014 12:40:36 PM,"Babies 0-12 months and their caregivers enjoy bouncing and tickling rhymes, songs and stories.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Call of Gamers: Teen Video Game Nights,8/5/2014,,6:15 PM,7:45 PM,6:15 PM,7:45 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,School-Age Children,,12/5/2014 13:14,"Join Malvern's Youth Advisory Group for a night of fun and video games including games for Wii, PS3 and XBox 360. No registration required, just drop-in and get your game on!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Solo Travel: 6 Things You Absolutely Must Know,8/5/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Spadina Road,,00-Author Talks & Lectures,01-Thought Exchange,,Adult,Older Adult,,13/05/2014 6:32:53 PM,Thinking of doing some solo travelling? Don’t leave home without listening to seasoned world traveler and writer Janice Waugh!,"{""smallImageURL"":""http://tpl.razuna.com/assets/3434/B2CDB294323B4814A2765DAEB1FAD190/img/C672D7FE278A45588B7422B8FB52FB1B/Janice-large-headshot-150x185_C672D7FE278A45588B7422B8FB52FB1B.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/B2CDB294323B4814A2765DAEB1FAD190/img/D8D0B9B29B7049A798B8A698931AE675/Janice-large-headshot-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Settlement Services,9/5/2014,,9:00 AM,12:30 PM,9:00 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,12/5/2014 13:14,"Settlement services, including help with immigration documents, health care, access to education and free access to Commissioner of Oaths service are available during this time period. If you are interested in English Conversation Group, please call Mohamed at 416-757-7010 for more information. This program is co-sponsored with Catholic Crosscultural Services (CCS).",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Everyday English for Mandarin Speaking Seniors,9/5/2014,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Older Adult,,,13/05/2014 12:40:36 PM,This program is for Mandarin speaking seniors to learn everyday English and information on Canadian culture offered by Carefirst Seniors Group. To register please call Bo Hong 416-502-2323 ext. 6237.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
